rxns	rxnNames	formulas	grRules
MAR03905	ethanol:NAD+ oxidoreductase	ethanol[c] + NAD+[c] => acetaldehyde[c] + H+[c] + NADH[c]	ENSG00000147576 or ENSG00000172955 or ENSG00000180011 or ENSG00000187758 or ENSG00000196344 or ENSG00000196616 or ENSG00000197894 or ENSG00000198099 or ENSG00000248144
MAR03907	Ethanol:NADP+ oxidoreductase	ethanol[c] + NADP+[c] => acetaldehyde[c] + H+[c] + NADPH[c]	ENSG00000117448
MAR04097	Acetate:CoA ligase (AMP-forming)	acetate[c] + ATP[c] + CoA[c] => acetyl-CoA[c] + AMP[c] + PPi[c]	ENSG00000131069
MAR04099	Acetate:CoA ligase (AMP-forming)	acetate[m] + ATP[m] + CoA[m] => acetyl-CoA[m] + AMP[m] + PPi[m]	ENSG00000111058 or ENSG00000154930
MAR04108	acetyl adenylate:CoA acetyltransferase	acetyl adenylate[c] + CoA[c] => acetyl-CoA[c] + AMP[c] + H+[c]	ENSG00000131069
MAR04133	ATP:acetate adenylyltransferase	acetate[c] + ATP[c] + H+[c] => acetyl adenylate[c] + PPi[c]	ENSG00000131069
MAR04281	(S)-Lactate:NAD+ oxidoreductase	H+[x] + NADH[x] + pyruvate[x] <=> L-lactate[x] + NAD+[x]	ENSG00000111716 or ENSG00000134333
MAR04388	(S)-Lactate:NAD+ oxidoreductase	H+[c] + NADH[c] + pyruvate[c] <=> L-lactate[c] + NAD+[c]	ENSG00000111716 or ENSG00000134333 or ENSG00000166796 or ENSG00000166800 or ENSG00000171989
MAR04283	Acetaldehyde:NADP+ oxidoreductase	acetaldehyde[c] + H2O[c] + NADP+[c] => acetate[c] + 2 H+[c] + NADPH[c]	ENSG00000006534 or ENSG00000108602 or ENSG00000132746 or ENSG00000184254
MAR08357	Acetaldehyde:NAD+ oxidoreductase	acetaldehyde[m] + H2O[m] + NAD+[m] => acetate[m] + 2 H+[m] + NADH[m]	ENSG00000072210 or ENSG00000111275 or ENSG00000137124 or ENSG00000143149 or ENSG00000164904
MAR04379	ATP:D-fructose-6-phosphate 1-phosphotransferase	ATP[c] + fructose-6-phosphate[c] => ADP[c] + fructose-1,6-bisphosphate[c] + H+[c]	ENSG00000067057 or ENSG00000141959 or ENSG00000152556
MAR04301	UTP:D-fructose-6-phosphate 1-phosphotransferase	fructose-6-phosphate[c] + UTP[c] => fructose-1,6-bisphosphate[c] + H+[c] + UDP[c]	ENSG00000067057 or ENSG00000141959 or ENSG00000152556
MAR04355	sedoheptulose 1,7-bisphosphate D-glyceraldehyde-3-phosphate-lyase	DHAP[c] + erythrose-4-phosphate[c] => sedoheptulose-1,7-bisphosphate[c]	ENSG00000109107 or ENSG00000136872
